unique_identifier,listing_amount,amount_funded,lender_yield,borrower_apr,listing_term,listing_monthly_payment,income_range,income_range_description,stated_monthly_income,employment_status_description,occupation,months_employed,borrower_state,borrower_city,prior_prosper_loans,prior_prosper_loans_principal_borrowed,prior_prosper_loans_principal_outstanding,prior_prosper_loans_balance_outstanding,prior_prosper_loans_cycles_billed,prior_prosper_loans_ontime_payments,prior_prosper_loans_late_cycles,prior_prosper_loan_earliest_pay_off,lender_indicator,group_indicator,TUFicoRange,dti_wprosper_loan,CoBorrowerApplication,CombinedDtiwProsperLoan,CombinedStatedMonthlyIncome,prosper_rating
636,20000,20000,0.0969,0.1294,60,431.76,5,"$75,000-99,999",7916.6667,Employed,Accountant/CPA,33,WA,SEATAC,1,30000,0,0,1,1,0,55,0,FALSE,800-819,0.1649,TRUE,0.1649,15000,AA
637,15000,15000,0.1279,0.1611,60,347.39,6,"$100,000+",16250,Employed,Accountant/CPA,90,NJ,Kearny,1,18000,0,0,0,0,0,18,0,FALSE,700-719,0.1978,TRUE,0.1978,21250,B
638,20000,20000,0.175,0.2094,60,513.32,4,"$50,000-74,999",4166.6667,Employed,Truck Driver,30,KS,Hays,1,20000,0,0,0,0,0,22,0,FALSE,640-659,0.1524,TRUE,0.1524,9166.6667,C
639,20000,20000,0.235,0.2838,36,789.92,6,"$100,000+",8401.4167,Employed,Engineer - Mechanical,76,UT,SALT LAKE CTY,2,39500,0,0,0,0,0,19,0,FALSE,680-699,0.5324,TRUE,0.5324,12568.0833,D
640,12000,12000,0.0969,0.1294,60,259.06,2,"$1-24,999",1916.6667,Employed,Other,70,AR,Mountain Home,1,2000,0,0,0,0,0,26,0,FALSE,800-819,0.1832,TRUE,0.1832,4416.6667,A
641,25000,25000,0.1349,0.1683,60,588.08,6,"$100,000+",8333.3333,Employed,Nurse (LPN),49,CA,Temecula,2,44700,0,0,1,1,0,23,0,FALSE,740-759,0.2745,TRUE,0.2745,13750,B
642,13000,13000,0.1349,0.1683,60,305.8,4,"$50,000-74,999",5833.3333,Employed,Other,7,CA,Oakland,1,7683,0,0,0,0,0,13,0,FALSE,740-759,0.1795,TRUE,0.1795,10416.6667,B
643,30000,30000,0.0804,0.1258,36,954.55,6,"$100,000+",9166.6667,Employed,Skilled Labor,35,AK,North Pole,1,20000,0,0,0,0,0,13,0,FALSE,740-759,0.259,TRUE,0.259,9333.3333,AA
644,15000,15000,0.053,0.0795,36,458.37,4,"$50,000-74,999",5666.6667,Employed,Other,237,WI,Grafton,2,38000,0,0,1,1,0,44,0,FALSE,800-819,0.1713,TRUE,0.1713,7333.3333,AA
645,6000,6000,0.1028,0.1354,60,131.29,4,"$50,000-74,999",4583.3333,Employed,Teacher,125,TN,Rockvale,4,60500,24621.31,0,141,67,0,2,1,FALSE,740-759,0.054,TRUE,0.054,13083.3333,A
646,20000,20000,0.0894,0.135,36,644.78,4,"$50,000-74,999",6125,Employed,Other,112,CA,Roseville,2,31000,964.15,0,0,0,0,31,0,FALSE,740-759,0.205,TRUE,0.205,14875,AA
647,35000,35000,0.175,0.2225,36,1274.13,4,"$50,000-74,999",6166.6667,Employed,Other,370,IL,Grayslake,3,43500,0,0,20,20,0,27,0,FALSE,700-719,0.3581,TRUE,0.3581,9833.3333,C
648,25000,25000,0.1089,0.1417,60,554.72,6,"$100,000+",8750,Employed,Other,231,GA,ELLABELL,1,25000,0,0,1,1,0,49,0,FALSE,680-699,0.0875,TRUE,0.0875,10416.6667,A
649,20000,20000,0.053,0.0794,36,611.16,6,"$100,000+",8975,Employed,Accountant/CPA,320,NV,LAS VEGAS,2,21000,12592.01,0,0,0,0,10,0,FALSE,800-819,0.1568,TRUE,0.1568,14808.3333,AA
650,35000,35000,0.0974,0.1432,36,1141.55,5,"$75,000-99,999",7308.3333,Employed,Analyst,108,MA,Westford,2,33000,0,0,21,21,0,26,0,FALSE,740-759,0.139,TRUE,0.139,11641.6667,A
651,20000,20000,0.0924,0.1381,36,647.6,6,"$100,000+",11666.6667,Employed,Psychologist,106,NY,STONY POINT,2,40000,0,0,0,0,0,8,0,FALSE,720-739,0.3396,TRUE,0.3396,19166.6667,AA
652,10000,10000,0.0969,0.1427,36,325.92,3,"$25,000-49,999",2750,Employed,Clerical,194,CA,Madera,3,34000,0,0,1,1,0,0,0,FALSE,740-759,0.4,TRUE,0.4,6916.6667,A
653,14000,14000,0.0929,0.1254,60,299.46,6,"$100,000+",14583.3333,Employed,Professional,102,MI,Macomb,3,46000,0,0,6,6,0,12,0,FALSE,760-779,0.1416,TRUE,0.1416,31250,A
654,15000,15000,0.053,0.0794,36,458.37,5,"$75,000-99,999",6416.6667,Employed,Police Officer/Correction Officer,295,TX,BROWNSVILLE,2,36000,0,0,1,1,0,25,0,FALSE,800-819,0.2415,TRUE,0.2415,11000,AA
655,35000,35000,0.1089,0.1417,60,776.61,4,"$50,000-74,999",6000,Employed,Retail Management,59,MO,Holt,2,36000,0,0,1,1,0,3,1,FALSE,720-739,0.2534,TRUE,0.2534,13666.6667,A
656,7500,7500,0.109,0.155,36,248.75,6,"$100,000+",10000,Self-employed,Self Employed,66,MI,Livonia,1,15000,0,0,0,0,0,7,0,FALSE,700-719,0.1612,TRUE,0.1612,14333.3333,A
657,35000,35000,0.1179,0.1509,60,792.6,4,"$50,000-74,999",4833.3333,Self-employed,Tradesman - Plumber,266,CO,Berthoud,3,28000,0,0,1,1,0,21,0,FALSE,760-779,0.1293,TRUE,0.1293,10750,B
658,15000,15000,0.1115,0.1444,60,334.8,6,"$100,000+",10825,Employed,Computer Programmer,304,LA,Lake Charles,3,23000,0,0,14,14,0,17,0,FALSE,680-699,0.2404,TRUE,0.2404,14705.3333,A
659,15000,15000,0.1179,0.1509,60,339.69,6,"$100,000+",26325,Employed,Executive,70,OH,Minster,1,35000,0,0,0,0,0,9,0,FALSE,700-719,0.3026,TRUE,0.3026,27575,B
660,18000,18000,0.053,0.0795,36,550.04,6,"$100,000+",11366.6667,Employed,Computer Programmer,189,KY,Lexington,5,94000,9962.36,0,8,8,0,8,0,FALSE,800-819,0.2449,TRUE,0.2449,16116.6667,AA
