unique_identifier,listing_amount,amount_funded,lender_yield,borrower_apr,listing_term,listing_monthly_payment,income_range,income_range_description,stated_monthly_income,employment_status,employment_status_description,occupation,months_employed,borrower_state_num,borrower_state,borrower_city,prior_prosper_loans,prior_prosper_loans_principal_borrowed,prior_prosper_loans_principal_outstanding,prior_prosper_loans_balance_outstanding,prior_prosper_loans_cycles_billed,prior_prosper_loans_ontime_payments,prior_prosper_loans_late_cycles,prior_prosper_loan_earliest_pay_off,lender_indicator,group_indicator,Fico_rating,TUFicoRange,dti_wprosper_loan,CoBorrowerApplication,CombinedDtiwProsperLoan,CombinedStatedMonthlyIncome,rating_num,prosper_rating
111,35000,35000,0.0969,0.1294,60,755.59,6,"$100,000+",35416.6667,1,Self-employed,Other,399,28,NJ,Scotch Plains,1,40000,0,0,0,0,0,13,0,FALSE,6,760-779,0.2484,TRUE,0.2484,37083.3333,0,A
112,30000,30000,0.1034,0.1493,36,987,3,"$25,000-49,999",2300,0,Employed,Teacher,217,8,FL,Miami Lakes,1,25000,0,0,0,0,0,13,0,FALSE,4,720-739,0.1627,TRUE,0.1627,9162.5,0,A
113,15000,15000,0.1564,0.1903,60,369.89,6,"$100,000+",17500,0,Employed,Sales - Retail,0,37,SC,Florence,1,9500,0,0,0,0,0,37,0,FALSE,2,680-699,0.21,TRUE,0.21,20708.3333,1,C
114,27000,27000,0.0999,0.1325,60,586.91,3,"$25,000-49,999",3541.6667,0,Employed,Professional,10,3,AZ,Sun City,1,20000,0,0,0,0,0,30,0,FALSE,8,800-819,0.1254,TRUE,0.1254,8644.5833,0,A
115,8500,8500,0.0959,0.1416,36,276.63,5,"$75,000-99,999",7166.6667,0,Employed,Tradesman - Mechanic,43,2,AR,Greenbrier,1,15000,0,0,0,0,0,40,0,FALSE,2,680-699,0.0366,TRUE,0.0366,9666.6667,0,A
116,25000,25000,0.2264,0.2751,36,976.1,4,"$50,000-74,999",5570.4167,0,Employed,Professional,169,3,AZ,Marana,2,40000,1963.12,0,0,0,0,59,0,FALSE,3,700-719,0.3853,TRUE,0.3853,10263.5833,2,D
117,12000,12000,0.1034,0.1493,36,394.8,4,"$50,000-74,999",5000,0,Employed,Teacher,1,40,TX,RED OAK,1,5000,0,0,0,0,0,14,0,FALSE,3,700-719,0.1895,TRUE,0.1895,10000,0,A
118,8500,8500,0.053,0.0795,36,259.74,2,"$1-24,999",1641.6667,2,Other,Skilled Labor,24,30,NV,LAS VEGAS,2,17000,0,0,0,0,0,7,0,FALSE,8,800-819,0.0598,TRUE,0.0598,5683.3333,0,AA
119,14000,14000,0.1684,0.2157,36,505.01,5,"$75,000-99,999",6333.3333,2,Other,Skilled Labor,7,22,MO,SAINT JOSEPH,4,57000,8705.23,0,1,1,0,17,0,FALSE,3,700-719,0.524,TRUE,0.524,8500,1,C
120,10000,10000,0.0959,0.1416,36,325.45,6,"$100,000+",13750,1,Self-employed,Other,113,17,MA,South Deerfield,1,11000,0,0,10,10,0,9,0,FALSE,5,740-759,0.37,TRUE,0.37,14738,0,A
121,28000,28000,0.0969,0.1294,60,604.47,6,"$100,000+",12500,0,Employed,Police Officer/Correction Officer,176,35,PA,Aliquippa,3,62300,0,0,0,0,0,10,0,FALSE,8,800-819,0.2138,TRUE,0.2138,15833.3333,0,AA
122,25000,25000,0.0969,0.1294,60,539.7,5,"$75,000-99,999",7166.6667,0,Employed,Nurse (RN),24,17,MA,Dennisport,1,14000,0,0,1,1,0,32,0,FALSE,8,800-819,0.0646,TRUE,0.0646,15500,0,AA
123,13500,13500,0.0959,0.1416,36,439.36,4,"$50,000-74,999",4916.6667,0,Employed,Accountant/CPA,8,40,TX,McAllen,2,44500,0,0,1,1,0,20,0,FALSE,4,720-739,0.1846,TRUE,0.1846,9750,0,A
124,15000,15000,0.053,0.0795,36,458.37,5,"$75,000-99,999",6500,2,Other,Clergy,205,5,CO,Thornton,2,20000,0,0,0,0,0,1,0,FALSE,8,800-819,0.2957,TRUE,0.2957,13000,0,AA
125,35000,35000,0.1279,0.1611,60,810.58,6,"$100,000+",18333.3333,0,Employed,Other,307,4,CA,Long Beach,2,32000,0,0,2,2,0,13,0,FALSE,2,680-699,0.2223,TRUE,0.2223,32083.3333,1,B
126,35000,35000,0.0894,0.135,36,1128.37,5,"$75,000-99,999",6666.6667,0,Employed,Police Officer/Correction Officer,143,5,CO,Parachute,1,25000,0,0,1,1,0,51,0,FALSE,7,780-799,0.2532,TRUE,0.2532,14166.6667,0,AA
127,10000,10000,0.1089,0.1417,60,221.89,6,"$100,000+",14458.3333,0,Employed,Other,112,40,TX,Henrietta,3,25000,1575.87,0,14,14,0,51,0,FALSE,3,700-719,0.0977,TRUE,0.0977,19541.6667,0,A
128,15500,15500,0.0864,0.132,36,497.53,5,"$75,000-99,999",6500,0,Employed,Other,1,40,TX,San Antonio,1,10000,0,0,0,0,0,10,0,FALSE,5,740-759,0.1828,TRUE,0.1828,16916.6667,0,AA
129,13000,13000,0.053,0.0795,36,397.25,4,"$50,000-74,999",5833.3333,2,Other,Executive,89,37,SC,Charleston,2,39000,0,0,2,2,0,24,0,FALSE,8,800-819,0.0923,TRUE,0.0923,11166.6667,0,AA
130,15000,15000,0.1279,0.1611,60,347.39,6,"$100,000+",8500,0,Employed,Food Service Management,57,9,GA,Hampton,1,12141,0,0,0,0,0,12,0,FALSE,4,720-739,0.4977,TRUE,0.4977,10333.3333,1,B
131,8000,8000,0.0969,0.1294,60,172.71,4,"$50,000-74,999",5416.6667,0,Employed,Administrative Assistant,6,7,DE,Middletown,1,7000,0,0,0,0,0,0,0,FALSE,5,740-759,0.1138,TRUE,0.1138,11250,0,A
132,10000,10000,0.1003,0.1461,36,327.53,5,"$75,000-99,999",6666.6667,0,Employed,Tradesman - Mechanic,46,12,IL,Ashkum,3,40000,0,0,0,0,0,3,0,FALSE,7,780-799,0.431,TRUE,0.431,8750,0,A
133,35000,35000,0.0954,0.1411,36,1138.25,5,"$75,000-99,999",6666.6667,0,Employed,Architect,7,21,MN,WOODBURY,1,11000,0,0,12,12,0,2,1,FALSE,4,720-739,0.276,TRUE,0.276,17500,0,AA
134,12000,12000,0.1349,0.1815,36,412.99,5,"$75,000-99,999",6952.9167,0,Employed,Tradesman - Electrician,22,16,LA,Eunice,2,38000,0,0,0,0,0,12,0,FALSE,2,680-699,0.2785,TRUE,0.2785,10702.9167,1,B
135,11000,11000,0.1439,0.1775,60,263.95,3,"$25,000-49,999",3981.5,0,Employed,Analyst,174,9,GA,Columbus,2,11200,4745.7,0,0,0,0,22,0,FALSE,6,760-779,0.2402,TRUE,0.2402,7448.1667,1,B
136,9000,9000,0.053,0.0795,36,275.02,6,"$100,000+",9213.9167,0,Employed,Other,69,37,SC,SPARTANBURG,1,18000,0,0,1,1,0,4,0,FALSE,7,780-799,0.0846,TRUE,0.0846,12680.5833,0,AA
137,35000,35000,0.1089,0.1417,60,776.61,4,"$50,000-74,999",5120.6667,0,Employed,Teacher,78,40,TX,BURLESON,1,15000,0,0,1,1,0,31,0,FALSE,6,760-779,0.2056,TRUE,0.2056,14204.6667,0,A
138,34000,34000,0.0974,0.1432,36,1108.93,4,"$50,000-74,999",4800,0,Employed,Food Service,4,34,OR,BEAVERTON,1,10000,0,0,0,0,0,7,0,FALSE,3,700-719,0.2067,TRUE,0.2067,8550,0,A
139,35000,35000,0.154,0.1878,60,858.59,5,"$75,000-99,999",7500,0,Employed,Teacher,301,20,MI,Armada,1,10000,0,0,0,0,0,35,0,FALSE,5,740-759,0.1034,TRUE,0.1034,13416.6667,1,C
140,25000,25000,0.1219,0.155,60,571.26,6,"$100,000+",12500,0,Employed,Principal,53,17,MA,Raynham,2,40000,0,0,1,1,0,18,0,FALSE,1,660-679,0.209,TRUE,0.209,20666.6667,1,B
141,10000,10000,0.1064,0.1523,36,330.43,3,"$25,000-49,999",3920,0,Employed,Clerical,73,4,CA,Lake Elsinore,1,2000,0,0,1,1,0,32,0,FALSE,3,700-719,0.0887,TRUE,0.0887,6836.6667,0,A
142,10000,10000,0.154,0.201,36,353.55,5,"$75,000-99,999",7250,0,Employed,Accountant/CPA,234,42,VA,Chesapeake,2,40000,0,0,1,1,0,34,0,FALSE,2,680-699,0.3772,TRUE,0.3772,13250,1,C
143,15000,15000,0.0929,0.1254,60,320.85,5,"$75,000-99,999",6250,0,Employed,Retail Management,33,4,CA,Suisun City,2,46000,0,0,0,0,0,4,0,FALSE,3,700-719,0.0593,TRUE,0.0593,14416.6667,0,A
144,35000,35000,0.1684,0.2158,36,1262.53,4,"$50,000-74,999",5833.3333,0,Employed,Medical Technician,63,18,MD,Laurel,1,8000,0,0,0,0,0,6,0,FALSE,3,700-719,0.2675,TRUE,0.2675,11666.6667,1,C
145,15000,15000,0.0969,0.1294,60,323.82,4,"$50,000-74,999",5756,2,Other,Homemaker,287,3,AZ,Tucson,1,8000,0,0,0,0,0,20,0,FALSE,6,760-779,0.05,TRUE,0.05,8881.5833,0,A
146,25000,25000,0.1628,0.1968,60,625.08,3,"$25,000-49,999",3833.3333,0,Employed,Skilled Labor,33,5,CO,Denver,1,10000,0,0,0,0,0,21,0,FALSE,5,740-759,0.4563,TRUE,0.4563,7833.3333,1,C
147,12000,12000,0.1034,0.1493,36,394.8,6,"$100,000+",10416.6667,0,Employed,Professional,342,4,CA,Huntington Beach,1,35000,0,0,0,0,0,42,0,FALSE,4,720-739,0.27,TRUE,0.27,18333.3333,0,A
148,35000,35000,0.0969,0.1294,60,755.59,6,"$100,000+",18750,0,Employed,Executive,233,34,OR,Oregon City,4,125000,0,0,8,8,0,5,0,FALSE,6,760-779,0.0987,TRUE,0.0987,24333.3333,0,AA
149,25000,25000,0.1219,0.1682,36,844.64,4,"$50,000-74,999",5833.3333,0,Employed,Other,474,12,IL,Belvidere,2,42800,6219.63,0,0,0,0,26,0,FALSE,4,720-739,0.5538,TRUE,0.5538,11666.6667,1,B
150,7000,7000,0.1279,0.1743,36,238.53,3,"$25,000-49,999",4000,0,Employed,Laborer,12,26,NE,Beatrice,3,19000,3504.89,0,0,0,0,8,0,FALSE,4,720-739,0.3429,TRUE,0.3429,5000,1,B
151,25000,25000,0.1028,0.1355,60,547.06,6,"$100,000+",16941.3333,0,Employed,Other,168,22,MO,Lees Summit,2,26500,0,0,0,0,0,2,0,FALSE,5,740-759,0.188,TRUE,0.188,23941.3333,0,A
152,35000,35000,0.1249,0.158,60,805.16,5,"$75,000-99,999",6666.6667,0,Employed,Professional,97,42,VA,Catawba,2,30000,0,0,2,2,0,6,0,FALSE,4,720-739,0.2085,TRUE,0.2085,13333.3333,1,B
153,22000,22000,0.053,0.0794,36,672.28,5,"$75,000-99,999",7416.6667,0,Employed,Other,191,5,CO,Castle Rock,2,52000,0,0,1,1,0,22,0,FALSE,7,780-799,0.2204,TRUE,0.2204,12950,0,AA
154,22500,22500,0.0929,0.1254,60,481.28,6,"$100,000+",8833.3333,0,Employed,Tradesman - Electrician,168,35,PA,CRANBERRY TOWNSHIP,1,20000,0,0,0,0,0,10,0,FALSE,7,780-799,0.207,TRUE,0.207,13416.6667,0,A
155,8550,8550,0.0804,0.1258,36,272.05,4,"$50,000-74,999",4750,0,Employed,Professional,270,9,GA,Flowery Branch,1,15000,0,0,0,0,0,2,0,FALSE,4,720-739,0.3508,TRUE,0.3508,8916.6667,0,AA
156,5500,5500,0.109,0.155,36,182.42,3,"$25,000-49,999",2341.5,0,Employed,Sales - Retail,11,5,CO,Dacono,1,7000,0,0,0,0,0,10,0,FALSE,4,720-739,0.02,TRUE,0.02,58174.8333,0,A
157,4500,4500,0.1003,0.1461,36,147.39,4,"$50,000-74,999",4879.1667,0,Employed,Clerical,432,11,ID,Lava Hot Springs,3,23500,0,0,1,1,0,16,0,FALSE,8,800-819,0.3862,TRUE,0.3862,7999.1667,0,A
158,15000,15000,0.154,0.1878,60,367.97,4,"$50,000-74,999",4166.6667,2,Other,Other,9,12,IL,Kirkland,1,2000,0,0,0,0,0,22,0,FALSE,3,700-719,0.2698,TRUE,0.2698,6250,1,C
159,7000,7000,0.053,0.0795,36,213.91,6,"$100,000+",8333.3333,0,Employed,Police Officer/Correction Officer,74,4,CA,Long Beach,1,6000,0,0,0,0,0,14,0,FALSE,8,800-819,0.1459,TRUE,0.1459,11666.6667,0,AA
160,35000,35000,0.154,0.201,36,1237.42,4,"$50,000-74,999",5833.3333,0,Employed,Construction,26,4,CA,Pacoima,1,10000,0,0,0,0,0,8,0,FALSE,2,680-699,0.2373,TRUE,0.2373,12916.6667,1,C
161,15000,15000,0.1064,0.1524,36,495.64,5,"$75,000-99,999",7100,2,Other,Other,165,4,CA,Nuevo,4,92400,0,0,1,1,0,0,0,FALSE,1,660-679,0.4002,TRUE,0.4002,10466.6667,0,A
162,10000,10000,0.0974,0.1431,36,326.16,3,"$25,000-49,999",3333.3333,2,Other,Other,190,25,NC,STONEVILLE,2,15500,4558.87,0,0,0,0,12,0,FALSE,1,660-679,0.3476,TRUE,0.3476,4333.3333,0,A
163,11000,11000,0.109,0.155,36,364.83,3,"$25,000-49,999",2720,0,Employed,Food Service Management,107,42,VA,Manassas,2,6000,0,0,0,0,0,11,0,FALSE,0,640-659,0.1049,TRUE,0.1049,7720,0,A
164,10000,10000,0.053,0.0795,36,305.58,5,"$75,000-99,999",6500,2,Other,Clergy,201,5,CO,Thornton,1,10000,0,0,0,0,0,8,0,FALSE,8,800-819,0.2605,TRUE,0.2605,13000,0,AA
165,10000,10000,0.0999,0.1325,60,217.37,6,"$100,000+",10833.3333,0,Employed,Pharmacist,7,23,MS,Ripley,3,40000,4903.64,0,0,0,0,2,0,FALSE,6,760-779,0.3,TRUE,0.3,14583.3333,0,A
166,15000,15000,0.0974,0.1431,36,489.24,6,"$100,000+",10000,1,Self-employed,Self Employed,305,40,TX,Mesquite,1,15000,0,0,0,0,0,35,0,FALSE,3,700-719,0.3124,TRUE,0.3124,13333.3333,0,A
167,8200,8200,0.0959,0.1416,36,266.87,5,"$75,000-99,999",6916.6667,0,Employed,Professional,15,8,FL,Apopka,1,20000,0,0,0,0,0,21,0,FALSE,3,700-719,0.1471,TRUE,0.1471,13166.6667,0,A
168,20200,20200,0.1179,0.1641,36,678.58,3,"$25,000-49,999",3750,0,Employed,Food Service Management,95,40,TX,Houston,2,17000,7400,0,0,0,0,8,0,FALSE,5,740-759,0.4438,TRUE,0.4438,6083.3333,1,B
169,25000,25000,0.1439,0.1907,36,871.42,5,"$75,000-99,999",6250,0,Employed,Construction,87,5,CO,denver,1,6000,0,0,0,0,0,30,0,FALSE,1,660-679,0.1188,TRUE,0.1188,12083.3333,1,B
170,15000,15000,0.0924,0.1381,36,485.7,2,"$1-24,999",2000,2,Other,Skilled Labor,0,4,CA,Fresno,2,18000,0,0,0,0,0,7,0,FALSE,5,740-759,0.3237,TRUE,0.3237,4500,0,AA
171,10000,10000,0.1028,0.1355,60,218.82,2,"$1-24,999",2040,2,Other,Other,107,43,WA,Tumwater,1,8000,0,0,1,1,0,33,0,FALSE,5,740-759,0.2327,TRUE,0.2327,2762,0,A
172,15000,15000,0.109,0.155,36,497.5,5,"$75,000-99,999",7916.6667,0,Employed,Analyst,94,23,MS,Southaven,2,50000,0,0,16,16,0,32,1,FALSE,1,660-679,0.2169,TRUE,0.2169,13333.3333,0,A
173,3500,3500,0.1089,0.1417,60,77.66,4,"$50,000-74,999",4333.3333,0,Employed,Medical Technician,116,31,NY,hartsdale,1,4800,0,0,0,0,0,29,0,FALSE,4,720-739,0.0986,TRUE,0.0986,10083.3333,0,A
174,20000,20000,0.053,0.0795,36,611.16,4,"$50,000-74,999",5416.6667,0,Employed,Teacher,23,9,GA,Watkinsville,8,135561,27543.66,0,8,8,0,56,1,FALSE,8,800-819,0.2453,TRUE,0.2453,10833.3333,0,AA
175,15000,15000,0.1179,0.1509,60,339.69,3,"$25,000-49,999",2375,2,Other,Laborer,33,35,PA,Millersville,1,5500,0,0,0,0,0,14,0,FALSE,2,680-699,0.3062,TRUE,0.3062,3128,1,B
176,30000,30000,0.1028,0.1355,60,656.47,5,"$75,000-99,999",7500,0,Employed,Engineer - Mechanical,98,37,SC,Easley,1,18000,0,0,1,1,0,28,1,FALSE,5,740-759,0.2136,TRUE,0.2136,8973.3333,0,A
177,12500,12500,0.1034,0.1493,36,411.25,3,"$25,000-49,999",3500,0,Employed,Teacher,63,37,SC,Taylors,2,22000,5660.93,0,0,0,0,39,0,FALSE,5,740-759,0.1661,TRUE,0.1661,24333.3333,0,A
178,6500,6500,0.1489,0.1958,36,228.17,4,"$50,000-74,999",5416.6667,0,Employed,Nurse (RN),49,29,NM,Albuquerque,1,2000,0,0,0,0,0,16,0,FALSE,2,680-699,0.2581,TRUE,0.2581,9166.6667,1,B
179,10000,10000,0.0804,0.1258,36,318.18,3,"$25,000-49,999",2105.75,0,Employed,Other,197,25,NC,Wilmington,1,4000,0,0,0,0,0,35,0,FALSE,5,740-759,0.2837,TRUE,0.2837,5939.0833,0,AA
180,10000,10000,0.1179,0.1509,60,226.46,4,"$50,000-74,999",5166.6667,0,Employed,Administrative Assistant,19,9,GA,Loganville,1,15000,0,0,0,0,0,2,0,FALSE,3,700-719,0.1414,TRUE,0.1414,8166.6667,1,B
181,15000,15000,0.0969,0.1294,60,323.82,6,"$100,000+",17333.3333,0,Employed,Other,7,30,NV,Las Vegas,1,15000,0,0,0,0,0,28,0,FALSE,4,720-739,0.055,TRUE,0.055,34666.6667,0,A
182,7000,7000,0.1064,0.1523,36,231.3,5,"$75,000-99,999",6416.6667,0,Employed,Military Enlisted,165,32,OH,Middletown,2,12500,0,0,0,0,0,0,0,FALSE,2,680-699,0.08,TRUE,0.08,11833.3333,0,A
183,10000,10000,0.0909,0.1233,60,212.91,4,"$50,000-74,999",5416.6667,0,Employed,Other,15,8,FL,Jacksonville,1,8000,0,0,0,0,0,15,0,FALSE,5,740-759,0.1521,TRUE,0.1521,10416.6667,0,A
184,20000,20000,0.0999,0.1325,60,434.75,4,"$50,000-74,999",4583.3333,0,Employed,Skilled Labor,53,42,VA,Dendron,1,20000,0,0,0,0,0,6,0,FALSE,4,720-739,0.1866,TRUE,0.1866,11416.6667,0,A
185,12000,12000,0.0969,0.1294,60,259.06,5,"$75,000-99,999",6500,0,Employed,Food Service,27,4,CA,South Lake Tahoe,3,22000,0,0,31,31,0,8,0,FALSE,8,800-819,0.108,TRUE,0.108,12500,0,AA
186,15000,15000,0.1439,0.1775,60,359.93,3,"$25,000-49,999",2833.3333,0,Employed,Administrative Assistant,202,33,OK,Bartlesville,1,10000,0,0,0,0,0,6,0,FALSE,3,700-719,0.1996,TRUE,0.1996,4833.3333,1,B
187,11000,11000,0.0804,0.1258,36,350,6,"$100,000+",10833.3333,0,Employed,Realtor,60,4,CA,San Francisco,2,18500,0,0,1,1,0,20,0,FALSE,6,760-779,0.096,TRUE,0.096,15833.3333,0,AA
188,8500,8500,0.1379,0.1713,60,201.28,5,"$75,000-99,999",6500,0,Employed,Retail Management,248,8,FL,Port Orange,1,12000,0,0,0,0,0,3,0,FALSE,2,680-699,0.1622,TRUE,0.1622,10250,1,B
189,10000,10000,0.0969,0.1294,60,215.88,5,"$75,000-99,999",6250,0,Employed,Principal,138,3,AZ,Kingman,1,17000,0,0,0,0,0,10,0,FALSE,4,720-739,0.1,TRUE,0.1,9000,0,AA
190,25000,25000,0.2564,0.2928,60,758.01,4,"$50,000-74,999",5083.3333,0,Employed,Truck Driver,26,33,OK,Krebs,2,13500,0,0,0,0,0,8,0,FALSE,1,660-679,0.2377,TRUE,0.2377,6083.3333,2,D
191,5500,5500,0.0894,0.135,36,177.31,6,"$100,000+",8333.3333,0,Employed,Professional,3,8,FL,Stuart,3,12500,0,0,78,77,1,10,0,FALSE,5,740-759,0.1678,TRUE,0.1678,10833.3333,0,AA
192,10000,10000,0.2869,0.337,36,422.82,6,"$100,000+",11666.6667,1,Self-employed,Truck Driver,36,2,AR,Crossett,1,4000,0,0,1,1,0,22,0,FALSE,3,700-719,0.3098,TRUE,0.3098,18083.3333,2,E
193,8500,8500,0.0969,0.1294,60,183.5,4,"$50,000-74,999",4250,0,Employed,Teacher,37,3,AZ,Tucson,1,12500,0,0,0,0,0,31,0,FALSE,7,780-799,0.0596,TRUE,0.0596,8666.6667,0,AA
194,31500,31500,0.0804,0.1258,36,1002.28,5,"$75,000-99,999",6666.6667,0,Employed,Police Officer/Correction Officer,66,4,CA,Porterville,2,40000,0,0,0,0,0,18,0,FALSE,4,720-739,0.2057,TRUE,0.2057,13000,0,AA
195,9000,9000,0.053,0.0794,36,275.02,5,"$75,000-99,999",7083.3333,0,Employed,Professional,1,25,NC,Seagrove,1,20000,0,0,0,0,0,34,0,FALSE,7,780-799,0.2634,TRUE,0.2634,10083.3333,0,AA
196,30000,30000,0.0909,0.1233,60,638.74,5,"$75,000-99,999",7500,0,Employed,Teacher,193,4,CA,Madera,1,6000,0,0,0,0,0,34,0,FALSE,8,800-819,0.0939,TRUE,0.0939,14000,0,A
197,10500,10500,0.053,0.0795,36,320.86,5,"$75,000-99,999",6333.3333,0,Employed,Nurse (RN),141,30,NV,Las Vegas,2,24500,0,0,0,0,0,4,0,FALSE,7,780-799,0.1686,TRUE,0.1686,12166.6667,0,AA
198,22581,22581,0.1089,0.1417,60,501.05,5,"$75,000-99,999",7166.6667,0,Employed,Teacher,339,32,OH,Minster,1,17500,0,0,1,1,0,52,0,FALSE,4,720-739,0.2122,TRUE,0.2122,14000,0,A
199,17800,17800,0.0804,0.1258,36,566.37,4,"$50,000-74,999",4166.6667,0,Employed,Administrative Assistant,34,39,TN,Atoka,1,3000,0,0,0,0,0,18,0,FALSE,5,740-759,0.1965,TRUE,0.1965,10416.6667,0,AA
200,11000,11000,0.1349,0.1683,60,258.75,4,"$50,000-74,999",5958.3333,0,Employed,Other,110,8,FL,COCOA,2,20000,0,0,0,0,0,7,0,FALSE,7,780-799,0.1788,TRUE,0.1788,12041.6667,1,B
201,7000,7000,0.0909,0.1233,60,149.04,6,"$100,000+",10833.3333,0,Employed,Other,29,18,MD,Baltimore,1,25000,0,0,1,1,0,34,0,FALSE,7,780-799,0.18,TRUE,0.18,18583.3333,0,A
202,35000,35000,0.0969,0.1294,60,755.59,6,"$100,000+",10833.3333,0,Employed,Other,205,3,AZ,Goodyear,1,35000,0,0,0,0,0,6,0,FALSE,8,800-819,0.1416,TRUE,0.1416,29583.3333,0,A
203,15000,15000,0.1003,0.1461,36,491.29,6,"$100,000+",9833.3333,1,Self-employed,Truck Driver,14,39,TN,Memphis,1,8000,0,0,0,0,0,10,0,FALSE,5,740-759,0.2286,TRUE,0.2286,12500,0,A
204,25000,25000,0.0969,0.1427,36,814.8,6,"$100,000+",10416.6667,0,Employed,Construction,244,40,TX,NEW BRAUNFELS,2,30000,0,0,0,0,0,7,0,FALSE,3,700-719,0.5157,TRUE,0.5157,15250,0,A
205,35000,35000,0.1279,0.1611,60,810.58,6,"$100,000+",8750,0,Employed,Medical Technician,106,14,KS,Wellsville,1,35000,0,0,0,0,0,59,0,FALSE,4,720-739,0.24,TRUE,0.24,12916.6667,1,B
206,15000,15000,0.0964,0.1422,36,488.53,6,"$100,000+",9583.3333,0,Employed,Construction,96,21,MN,Lakeville,2,39200,0,0,0,0,0,10,0,FALSE,2,680-699,0.3609,TRUE,0.3609,15583.3333,0,A
207,10000,10000,0.2475,0.2967,36,401.58,4,"$50,000-74,999",5000,0,Employed,Clerical,48,41,UT,North Salt Lake,3,30000,0,0,1,1,0,28,0,FALSE,2,680-699,0.4465,TRUE,0.4465,9850,2,D
208,10000,10000,0.1249,0.158,60,230.05,4,"$50,000-74,999",5416.6667,0,Employed,Nurse (RN),0,1,AL,Lynn,2,20000,0,0,0,0,0,6,0,FALSE,8,800-819,0.2227,TRUE,0.2227,10833.3333,1,B
209,15000,15000,0.1064,0.1523,36,495.64,5,"$75,000-99,999",6324,2,Other,Psychologist,205,21,MN,HOWARD LAKE,1,9000,0,0,0,0,0,4,0,FALSE,4,720-739,0.05,TRUE,0.05,12648,0,A
210,12000,12000,0.0804,0.1258,36,381.82,4,"$50,000-74,999",4636.9167,2,Other,Other,98,37,SC,Aiken,1,18000,0,0,0,0,0,48,0,FALSE,6,760-779,0.1236,TRUE,0.1236,6609.1667,0,AA
211,6000,6000,0.2064,0.2415,60,164.49,4,"$50,000-74,999",4583.3333,0,Employed,Professional,59,8,FL,OVIEDO,1,6000,0,0,0,0,0,5,0,FALSE,1,660-679,0.0649,TRUE,0.0649,10000,1,C
212,12000,12000,0.1564,0.1903,60,295.91,6,"$100,000+",8727.75,0,Employed,Teacher,46,42,VA,Ruckersville,1,13000,0,0,0,0,0,10,0,FALSE,0,640-659,0.1184,TRUE,0.1184,17455.5,1,C
213,2500,2500,0.175,0.2094,60,64.17,6,"$100,000+",8333.3333,0,Employed,Postal Service,281,20,MI,Waterford Township,3,13500,5417.09,0,1,1,0,21,0,FALSE,3,700-719,0.1017,TRUE,0.1017,10750,1,C
214,10000,10000,0.053,0.0795,36,305.58,4,"$50,000-74,999",4560,0,Employed,Medical Technician,10,8,FL,Deltona,2,20000,0,0,0,0,0,26,0,FALSE,7,780-799,0.3444,TRUE,0.3444,8881,0,AA
215,3603,3603,0.154,0.201,36,127.38,6,"$100,000+",8333.3333,0,Employed,Teacher,72,25,NC,HENDERSONVILLE,1,15000,0,0,1,1,0,37,0,FALSE,2,680-699,0.0957,TRUE,0.0957,16603.5833,1,C
216,12000,12000,0.0969,0.1294,60,259.06,6,"$100,000+",13750,0,Employed,Professional,320,42,VA,Toano,4,51500,0,0,11,11,0,2,0,FALSE,6,760-779,0.2362,TRUE,0.2362,18750,0,AA
217,11500,11500,0.1684,0.2157,36,414.83,4,"$50,000-74,999",5845.5,0,Employed,Other,318,40,TX,EL PASO,2,28000,0,0,0,0,0,8,0,FALSE,1,660-679,0.3677,TRUE,0.3677,12595.5,1,C
218,19500,19500,0.0969,0.1294,60,420.97,6,"$100,000+",17083.3333,0,Employed,Executive,433,39,TN,Dandridge,2,58000,15395.72,0,1,1,0,5,0,FALSE,4,720-739,0.2838,TRUE,0.2838,20166.6667,0,AA
219,6000,6000,0.053,0.0794,36,183.35,5,"$75,000-99,999",7333.3333,0,Employed,Military Enlisted,185,4,CA,Chula Vista,2,30000,0,0,0,0,0,12,0,FALSE,8,800-819,0.3856,TRUE,0.3856,11166.6667,0,AA
220,15000,15000,0.0969,0.1294,60,323.82,6,"$100,000+",16666.6667,0,Employed,Professional,6,23,MS,Caledonia,3,19500,0,0,10,10,0,7,0,FALSE,6,760-779,0.0515,TRUE,0.0515,17666.6667,0,AA
221,16000,16000,0.1249,0.1581,60,368.08,5,"$75,000-99,999",7498.3333,0,Employed,Professional,130,40,TX,Kemp,1,15000,0,0,0,0,0,29,0,FALSE,5,740-759,0.2907,TRUE,0.2907,11311.5833,1,B
222,6000,6000,0.053,0.0795,36,183.35,4,"$50,000-74,999",6000,0,Employed,Other,148,21,MN,Verndale,2,35000,0,0,0,0,0,11,0,FALSE,8,800-819,0.0927,TRUE,0.0927,9000,0,AA
223,35000,35000,0.0964,0.1421,36,1139.9,6,"$100,000+",9166.6667,0,Employed,Computer Programmer,13,35,PA,Warrington,2,30000,0,0,0,0,0,5,0,FALSE,6,760-779,0.0949,TRUE,0.0949,18750,0,A
224,11000,11000,0.0804,0.1258,36,350,4,"$50,000-74,999",5416.6667,0,Employed,Nurse (RN),284,25,NC,CHARLOTTE,1,6799,0,0,1,1,0,20,0,FALSE,5,740-759,0.12,TRUE,0.12,15000,0,AA
